"Input","Output","Updated Feedback"
"Another problem is if your mobile is stolen, the thief can access all your personal life, he can check your e - mail, see your photos, etc.","Another problem is that if your mobile is stolen, the thief can access all your personal details; he can check your email, see your photos, etc.","Serious issue! Add ""that"" for relative clause, use ""personal details"" for clarity, and a semicolon for clause separation. What steps can you take to protect your personal details?"
"And people are getting isolated, once I saw a mother using your mobile instead of taking care of her baby!","And people are becoming isolated. Once I saw a mother using her mobile instead of taking care of her baby!","Concerning observation! Use ""becoming"" for verb and ""her"" for pronoun. What do you think can be done to reduce mobile phone use around children?"
"This is so sad!","This is so sad!","Perfect! No changes needed. What emotions does this situation evoke in you?"
"In the future, it will probably we can almost everything using mobile, but we might pay attention in how this affects our life.","In the future, it will probably be that we can almost do everything using a mobile, but we must pay attention to how this affects our lives.","Thought-provoking! Use ""be that,"" ""do,"" ""a mobile,"" ""must,"" and ""lives."" What positive changes do you hope technology will bring?"
"The pie charts illustrate the amount of household earnings allocation within regular families in two different years ( 2000 and 2010 )","The pie charts illustrate the amount of household earnings allocation within regular families in two different years (2000 and 2010).","Clear introduction! Add a period after ""2010."" What trends do you notice between these years?"
"overall, in both years, the amount of earnings allocation predominantly from Housing then followed by food / clothes.","Overall, in both years, the amount of earnings allocation was for housing, then followed by food/clothes.","Good summary! Capitalize ""Overall,"" use ""was for,"" and ""food/clothes."" What do you think caused the allocation to housing?"
"There were a significant rise in the number of budget allocation from both categories ( Housing and food / clothes ) in 2000 and 2010.","There was a significant rise in the amount allocated to both categories (housing and food/clothes) in 2000 and 2010.","Clearer phrasing! Use ""was,"" ""amount allocated to,"" and lowercase ""housing"" and ""food/clothes."" What factors do you think contributed to this rise?"
"In contrast, Vacation / leisure and Misc were decrease over the same period of time.","In contrast, vacation/leisure and misc decreased over the same period of time.","Good contrast! Use ""vacation/leisure,"" ""misc,"" and ""decreased."" Why do you think these categories decreased?"
"Regarding the pie charts, there were significantly increased in the number of earnings allocation for Housing and Food / Clothes from about 35% and 25% in 2000 to about 50% and 35% in 2010 respectively.","Regarding the pie charts, there was a significant increase in the amount allocated to housing and food/clothes, from about 35% and 25% in 2000 to about 50% and 35% in 2010 respectively.","Detailed analysis! Use ""was a significant increase,"" ""amount allocated to,"" and lowercase ""housing"" and ""food/clothes."" What implications does this have for families?"
"However, the allocation of household budget for Misc, which was the least among other categories in 2010 ( around 15% ), fell by 10% in 2010 from around 15% to approximately 5% respectively.","However, the allocation of household budget for misc, which was the lowest compared with other categories in 2010 (around 15%), fell by 10% in 2010 from around 15% to approximately 5%.","Good detail! Use ""misc,"" ""lowest compared with,"" and remove ""respectively."" What could be the reason for this decrease?"
