"Input","Output","Updated Feedback"
"My town is a medium size city with eighty thousand inhabitants.","My town is a medium-sized city with eighty thousand inhabitants.","Excellent description! You used the correct compound adjective ""medium-sized"" with a hyphen. This makes your writing clear and professional. What other features make your town special?"
"It has a high density population because its small territory.","It has a high density population because of its small territory.","Good start! To connect ideas clearly, use ""because of"" before a noun (""its small territory""). This helps your reader understand the relationship. Can you think of other reasons for the high density?"
"Despite of it is an industrial city, there are many shops and department stores.","Although it is an industrial city, there are many shops and department stores.","Great observation! Use ""Although"" (not ""Despite of"") to introduce a contrast. ""Although"" is the correct word to start a sentence like this. Try writing another sentence using ""Although"" to practice!"
"I recommend visiting the artificial lake in the certer of the city which is surrounded by a park.","I recommend visiting the artificial lake in the center of the city which is surrounded by a park.","Well done! You spelled ""center"" correctly. Always double-check spellings of common words. What activities can people do at the lake?"
"Pasteries are very common and most of them offer the special dessert from the city.","Pastries are very common and most of them offer the special dessert of the city.","Good job describing local food! ""Pastries"" is the correct spelling. Use ""of"" instead of ""from"" to show possession. What is the name of the special dessert?"
"There are a comercial zone along the widest street of the city where you can find all kind of establishments: banks, bars, chemists, cinemas, pet shops, restaurants, fast food restaurants, groceries, travel agencies, supermarkets and others.","There is a commercial zone along the widest street of the city where you can find all kinds of businesses: banks, bars, chemists, cinemas, pet shops, restaurants, fast food restaurants, grocers, travel agencies, supermarkets, and others.","You provided a lot of detail—excellent! ""Zone"" is singular, so use ""There is"". ""Commercial"" is the correct spelling. ""Kinds"" matches ""all"". Try listing the businesses in categories for clarity."
"Most of the shops have sales and offers at least three months of the year: January, June and August.","Most of the shops have sales and offers at least three months in the year: January, June, and August.","Good use of specific months! Add ""in"" before ""the year"" to show when the sales happen. This makes your sentence clearer."
"The quality of the products and services are quite good, because there are a huge competition, however I suggest you taking care about some fakes or cheats.","The quality of the products and services is quite good because there is huge competition. However, I recommend you be careful of some fakes or cheats.","You shared important advice! ""Quality"" is singular, so use ""is"". ""There is huge competition"" is correct. For advice, use ""I recommend you be careful"". Why is being careful important?"
"Everyone has his own plans.","Everyone has their own plans.","Good sentence! Use ""their"" instead of ""his"" to include everyone. This is more respectful and modern. Try writing a sentence using ""their"" to refer to a group."
"People want to be a doctor, other want to be a teacher.","Some people want to be a doctor; others want to be a teacher.","You’re talking about careers—great! Start with ""Some people"" and use ""others"" to show a different group. This makes your sentence complete. Can you think of more careers?"
"I have my own plan too but I do n't same to them, I want to become a Journalist.","I have my own plan too, but I do not want to be the same as them. I want to become a journalist.","You expressed your goals clearly! Add a comma after ""too"" and use ""do not want to be the same as them"". ""Journalist"" should be lowercase. What steps will you take to become a journalist?"
"Working as a Journalist is very exciting because many reasons.","Working as a journalist is very exciting because of many reasons.","You’re enthusiastic—good! Use ""because of"" before ""many reasons"". Always use lowercase for jobs. Can you list some reasons why it’s exciting?"
"First, I will have an opportunity to live abroad.","First, I will have an opportunity to live abroad.","Perfect! This is a clear and correct sentence. It’s a great example of sharing a future plan. What will you do while living abroad?"
"Second, I can travel all around the world, meet different people who are very friendly.","Second, I can travel all around the world and meet different people who are very friendly.","You’re thinking globally—wonderful! Add ""and"" before ""meet"" to connect your ideas smoothly. What will you learn from these experiences?"
"Next, I will have a chance appear in big parties or events and I can make friends with famous person - It's interesting!","Next, I will have a chance to attend big parties or events, and I can make friends with famous people. It's interesting!","You’re describing exciting opportunities! Add ""to"" after ""chance"" and use ""people"" (not ""person""). What will you learn from these experiences?"
"Finally, I will have high salary when I am Journalist.","Finally, I will have a high salary when I am a journalist.","You’re planning for the future—good! Add ""a"" before ""high salary"" and ""journalist"". What skills will help you earn a high salary?"
"To be Journalist, I must study very hard so I'll try to learn in order to make my dream comes true.","To be a journalist, I must study very hard so I'll try to learn in order to make my dream come true.","You’re determined—excellent! Add ""a"" before ""journalist"" and use ""come"" (not ""comes"") to match ""dream"". What will you study to become a journalist?"
"In the future, I'll become a journalist.","In the future, I'll become a journalist.","Perfect! This is a clear and correct way to express your future goal. What kind of journalist do you want to be?"
"Now days each family has more then 1 car for each one, this is only one of few reason that people use less public transport.","Nowadays, each family has more than one car for each person. This is only one of several reasons why people use less public transport.","You’re analyzing trends—great! Use ""Nowadays"" (one word) and ""than"" (not ""then""). ""Person"" is clearer than ""one"". Why do people use less public transport?"
"Before was really convenient to go by bus or by train but with the new economy the travel tickets are more expensive and a big difference from the past is that it is less expensive to go far then near.","Before, it was really convenient to go by bus or by train, but with the new economy, the fares are more expensive. A big difference from the past is that it is less expensive to go long-distance than short journeys.","You’re comparing past and present—good! Start with ""Before, it was"" and use ""than"" (not ""then""). What other changes have you noticed?"
"I remember from my town Palermo in Italy to go to Milan was about 340 pounds, now if we are lucky we can arrive to New York.","I remember going from my town, Palermo, to Milan in Italy was about 340 pounds. Now, if we are lucky, we can get to New York.","You’re sharing personal experiences—nice! Use commas around ""Palermo"" and ""Now, if we are lucky"". What do you think caused this change?"
"In England where I live, in Bedford, we use a lot the train to go in the most important town of UK, but the train are very expensive, me and my family stay careful if we go off pick because the price are to high.","In England, where I live, in Bedford, we use the train a lot to go to the most important towns in the UK, but the trains are very expensive. My family and I are careful if we go off-peak because the prices are too high.","You’re describing your life—good! Use commas after ""England"" and ""Bedford"". ""Trains"" and ""prices"" are plural. Why do you think train prices are high?"
"I'm sure in the future there will be car able to fly or you can park them in your pocket.","I'm sure in the future there will be cars that are able to fly or you can park them in your pocket.","You’re imagining the future—creative! Use ""cars"" (plural) and add ""that are"". What other futuristic inventions can you think of?"
"Furthermore, the biggest group of positive feeling students in the present is live with various nationalities.","Furthermore, the biggest group of positive-feeling students in the present lives with various nationalities.","You’re discussing diversity—important! Use a hyphen in ""positive-feeling"" and ""lives"" (not ""is live""). How does living with various nationalities help students?"
"The possible reason is these international students can not speak English flowing.","The possible reason is these international students cannot speak English fluently.","You’re analyzing language skills—good! Use ""cannot"" (one word) and ""fluently"". What can help students speak more fluently?"
"They usually lack of language and can not open a debate.","They usually lack language skills and cannot start a debate.","You’re identifying challenges—useful! Remove ""of"" after ""lack"" and use ""cannot"" (one word). What skills are needed to start a debate?"
"It is restrict to argue.","It is restricted to argue.","Good observation! Use ""restricted"" (not ""restrict"") because it’s an adjective. Why do you think it’s restricted?"
"In the other side, they might be wanted to safeguard national image.","On the other hand, they might want to safeguard the national image.","You’re discussing motives—interesting! Use ""On the other hand"" and ""might want"". What are some ways to safeguard a national image?"
"In order to give a good image and show the national parenting, our respondents tend to have a great pardon to other nationalities.","In order to give a good image and show national pride, our respondents tend to have great tolerance for other nationalities.","You’re talking about values—good! Use ""pride"" (not ""parenting"") and ""tolerance"". How does tolerance help a national image?"
"MORE THAN KIP FIT!","KEEP FIT MORE THAN!","This is a slogan—creative! ""KEEP FIT MORE THAN!"" is clearer. What does ""KIP FIT"" mean? Can you explain it in a full sentence?"
"Do you know mountain biking?","Do you know about mountain biking?","Good question! Add ""about"" to ask about the topic. What do you want to tell the reader about mountain biking?"
"Perhaps you think it's only a sport.","Perhaps you think it's only a sport.","Perfect! This is a clear and correct way to introduce an idea. What else is mountain biking besides a sport?"
"You're wrong.","You're wrong.","This is a clear statement. How will you explain why they’re wrong? What facts can you share?"
"Follow reading to know why!.","Carry on reading to know why!","Good encouragement! ""Carry on reading"" is more natural. What will the reader discover?"
"I'm keen on mountain biking since three years ago.","I have been keen on mountain biking for three years.","You’re sharing your hobby—great! Use ""have been keen"" and ""for three years"". What do you enjoy most about mountain biking?"
"Firstly, I tried with a rental bike in the area of Aznalcazar.","First, I tried it with a rental bike in the area of Aznalcázar.","You’re describing your first experience—nice! Use ""First"" (simpler) and add ""it"" after ""tried"". What did you learn from this experience?"
"The main reason why I wanted to prove was to lose weight (I was a bit overweight).","The main reason why I wanted to try it was to lose weight (I was a bit overweight).","You’re explaining your motivation—good! Use ""try it"" (not ""prove""). What other reasons did you have?"
"However, it was wonderful how I could admire the landscape while I was doing sport.","However, it was wonderful how I could admire the landscape while I was doing sport.","Perfect! This is a clear and correct sentence. What landscapes do you like most?"
"Consequently, I realized that although ciclyng outside helped me to improve my fitness, really I enjoyed the best breathing pure air and taking pleasure the countryside.","Consequently, I realized that although cycling outside helped me to improve my fitness, I most enjoyed breathing fresh air and taking pleasure in the countryside.","You’re reflecting on your experience—excellent! Spell ""cycling"" correctly and use ""fresh air"" and ""in the countryside"". What other benefits did you notice?"
"If someone wants to take up this sport, first of all, I would recommended him or her to pursue a good mountain bike.","If someone wants to take up this sport, first of all, I would recommend them to look for a good mountain bike.","You’re giving advice—helpful! Use ""recommend"" (not ""recommended"") and ""them"". What features should they look for in a bike?"
"It's important to avoid accidents, become comfortable and have a good journey.","It's important to avoid accidents, be comfortable, and have a good journey.","Good safety tips! Use ""be"" (not ""become"") to match ""avoid"" and ""have"". What else helps avoid accidents?"
"Secondly, he or she would buy a good helmet and, of course, appropriate clothing.","Secondly, he or she should buy a good helmet and, of course, appropriate clothing.","You’re listing steps—clear! Use ""should buy"" for advice. What kind of helmet and clothing are best?"
"I love this sport. I look forward to the weakened, to go out with my bike and my group of friends.","I love this sport. I look forward to the weekend to go out with my bike and my group of friends.","You’re expressing enthusiasm—good! Spell ""weekend"" correctly. What do you and your friends do together?"
"All of us spend a good time.","All of us have a good time.","Good sentiment! Use ""have"" (not ""spend"") because ""have a good time"" is the correct phrase. What makes the time good?"
