"Input","Output","Updated Feedback"
"Once he came, his mother asked him to up quickly acting that she was tired.","When he came, his mother asked him to get up quickly, pretending that she was tired.","Nice storytelling! The error is incorrect adverb and phrasing. Use ""When"" instead of ""Once"" for smoother transition. Change ""to up"" to ""to get up"" for clarity and correct phrasing. Replace ""acting"" with ""pretending"" to accurately describe the mother's behavior. Add a comma after ""quickly"" to separate the clauses. This helps you use conjunctions and verbs correctly to express actions and intentions. What do you think the mother was really feeling?"
"He saw his wife but said no words to her and continued hi way.","He saw his wife but said no words to her and continued on his way.","Good detail! The error is spelling and phrasing. Change ""hi"" to ""his"" for correct possessive pronoun. Add ""on"" before ""his way"" to complete the phrasal verb ""continued on."" This helps you use possessive pronouns and phrasal verbs accurately. What do you think the wife felt in that moment?"
"His wife walked behind him until they reach home but his mother claimed that his wife told her cruel words and acted that she was crying.","His wife walked behind him until they reached home, but his mother claimed that his wife said cruel words to her and pretended that she was crying.","Great narrative! The error is verb tense and word choice. Change ""reach"" to ""reached"" for past tense. Add a comma before ""but"" to separate the independent clauses. Replace ""told her cruel words"" with ""said cruel words to her"" for clarity. Change ""acted"" to ""pretended"" to accurately describe the action. This helps you use past tense and precise verbs to convey actions and emotions. How do you think the wife would react to this accusation?"
"Michael believed his mother although he observed marks of hitting on his wife's shape.","Michael believed his mother, although he observed bruises on his wife's face.","Good description! The error is missing punctuation and vague description. Add a comma after ""mother"" to separate the contrasting clauses. Replace ""marks of hitting"" with ""bruises"" for more precise language. Change ""shape"" to ""face"" to specify the location of the bruises. This helps you use descriptive language and punctuation to clarify meaning. What do you think Michael should have done differently?"
"He fired his wife after insulting her.","He threw out his wife after insulting her.","Clear action! The error is word choice. Change ""fired"" to ""threw out"" because ""fired"" is typically used for job termination, while ""threw out"" is more appropriate for expelling someone from a home. This helps you use contextually appropriate verbs. How do you think the wife felt after being treated this way?"
"She was shocked and apologized about a mistake she did not commit.","She was shocked and apologized for a mistake she did not commit.","Good emotional detail! The error is incorrect preposition. Use ""for"" instead of ""about"" with ""apologized"" because the correct preposition to use with ""apologize"" is ""for."" This helps you use prepositions correctly with specific verbs. What would you do if you were in her situation?"
"But his mother refused her apology and ordered him to close the door.","But his mother refused her apology and ordered him to close the door.","Perfect sentence! You used the past tense properly to describe a sequence of actions, which shows understanding of narrative structure. How do you think Michael felt after his mother’s refusal?"
"Michael closed the door and knew at that moment he had made a mistake.","Michael closed the door and knew at that moment he had made a mistake.","Perfect sentence! You used the past perfect tense properly to indicate a realization after a completed action, which shows understanding of tense usage. What do you think Michael learned from this experience?"
"The light bulb.","The light bulb.","This sentence is correct! It is a valid fragment used for emphasis or as a title. What do you think is the most fascinating thing about the light bulb?"
"The light bulb was created on 1879 by Thomas Alva Edison.","The light bulb was created in 1879 by Thomas Alva Edison.","Great historical detail! The error is incorrect preposition. Use ""in"" instead of ""on"" when referring to years. This helps you use the correct preposition for time expressions. What do you think is the most important invention of all time?"
"This was one of the everyday invents that affects our lives.","This was one of the everyday inventions that affects our lives.","Good point! The error is spelling. Change ""invents"" to ""inventions"" for correct noun form. The verb ""affects"" is correct as it agrees with the singular subject ""one."" This helps you use correct noun forms and subject-verb agreement. Which invention do you think has had the biggest impact on daily life?"
"Edison said to created the first comercially practical incandescent light.","Edison is said to have created the first commercially practical incandescent light.","Interesting fact! The error is verb form and spelling. Change ""said to created"" to ""is said to have created"" for correct passive voice and verb tense. Change ""comercially"" to ""commercially"" for correct spelling. This helps you use passive voice and correct spelling in historical descriptions. What do you think Edison’s greatest contribution to society was?"
"He was neither the first nor the only person trying to invent an incandescent light bulb.","He was neither the first nor the only person trying to invent an incandescent light bulb.","Perfect sentence! You used the correct structure for parallel negatives, which shows understanding of complex sentence construction. Who do you think was the most influential inventor in history?"
"Some historians claim there were 20 over inventors of incandescent lamps prior to Edison's version but Edison is often credited with the invention because his version was able to outstrip the earlier versions because of a combination of three factors: ""an effective incandescent material, a higher vacuum than others were able to achieve and a high resistance that made power distribution from a centralized source economically viable.""","Some historians claim there were over 20 inventors of incandescent lamps prior to Edison's version, but Edison is often credited with the invention because his version was able to outstrip the earlier versions due to a combination of three factors: 'an effective incandescent material, a higher vacuum than others were able to achieve, and a high resistance that made power distribution from a centralized source economically viable.'","Great historical insight! The error is word order, punctuation, and quotation marks. Change ""20 over"" to ""over 20"" for correct word order. Add a comma after ""version"" to separate the clauses. Replace double quotation marks with single quotes for consistency in citation style. This helps you use word order, punctuation, and citation style accurately. What do you think made Edison’s light bulb stand out from the others?"
"(taken from www.bulbs.com)","(Taken from www.bulbs.com)","Good citation! The error is capitalization. Capitalize ""Taken"" because it is the first word in a parenthetical statement. This helps you use proper capitalization in citations. What’s the most interesting fact you’ve learned about inventions?"
"Edison began a serious research about the incandescent light bulb on October of 1878, and his original design were in 1879.","Edison began serious research into the incandescent light bulb in October 1878, and his original design was in 1879.","Nice historical detail! The error is article use, preposition, and subject-verb agreement. Remove ""a"" before ""serious research"" because ""research"" is uncountable in this context. Change ""about"" to ""into"" for the correct preposition. Change ""on October of 1878"" to ""in October 1878"" for proper time expression. Change ""were"" to ""was"" for subject-verb agreement with ""design."" This helps you use articles, prepositions, and subject-verb agreement correctly. What do you think was the most challenging part of Edison’s research?"
"Edison and his research team did his discovery comercialy and create a company called ""Edison Electric Light Company"".","Edison and his research team made their discovery commercially and created a company called 'Edison Electric Light Company'.","Good detail! The error is pronoun agreement, verb form, spelling, and punctuation. Change ""did his discovery"" to ""made their discovery"" for correct pronoun and verb use. Change ""comercialy"" to ""commercially"" for correct spelling. Change ""create"" to ""created"" for past tense. Replace double quotation marks with single quotes for consistency. This helps you use pronouns, verbs, spelling, and punctuation accurately. What do you think was the key to Edison’s success?"
"I think what this is the most useful invention because without this we ca n't live like we live actually.","I think this is the most useful invention because without it we can't live like we live these days.","Great reflection! The error is redundant word, pronoun reference, and adverb. Remove ""what"" for clarity. Change ""this"" to ""it"" for proper pronoun reference. Change ""ca n't"" to ""can't"" for correct contraction. Change ""actually"" to ""these days"" for better time expression. This helps you use pronouns, contractions, and adverbs appropriately. What invention do you think has changed the world the most?"
"Peter looked at his watch and knew that he had to do something immediately.","Peter looked at his watch and knew that he had to do something immediately.","Perfect sentence! You used the past tense properly to describe a realization, which shows understanding of narrative structure. What do you think Peter decided to do next?"
